1	2:-155	3:-153	4:-173	5:-188	6:-209	7:-116	
1	2:-143	3:-136	4:-158	5:-169	6:-186	7:-89	
1	2:-74	3:-66	4:-56	5:-79	6:-115	7:-14	
1	2:107	3:-37	4:-36	5:-46	6:-85	7:22	
1	2:-19	3:-35	4:92	5:92	6:-71	7:35	
1	2:-17	3:80	4:-36	5:80	6:-78	7:22	
1	2:-29	3:-20	4:-38	5:-45	6:-91	7:22	
1	2:-19	3:106	4:106	5:-43	6:-67	7:7	
1	2:-49	3:-27	4:-34	5:-38	6:-73	7:22	
1	2:135	3:135	4:135	5:-27	6:-55	7:46	
1	2:-18	3:-44	4:-53	5:-57	6:-103	7:11	
1	2:-150	3:-119	4:-138	5:-165	6:-198	7:-86	
1	2:95	3:-59	4:-57	5:-46	6:-91	7:11	
1	2:-51	3:101	4:-36	5:-54	6:-99	7:2	
1	2:-10	3:-11	4:-29	5:-33	6:-65	7:162	
1	2:-36	3:-43	4:-42	5:-38	6:-79	7:9	
1	2:-28	3:-62	4:-37	5:-61	6:-94	7:-3	
1	2:-49	3:-56	4:96	5:96	6:-73	7:17	
1	2:-57	3:-58	4:-69	5:-59	6:-77	7:9	
1	2:69	3:-26	4:-71	5:-70	6:-69	7:-57	
1	2:121	3:-16	4:-52	5:-44	6:-47	7:121	
1	2:-52	3:-25	4:-56	5:-49	6:-72	7:-6	
1	2:-11	3:-26	4:-33	5:-38	6:-67	7:36	
1	2:-48	3:-22	4:-39	5:-92	6:-66	7:158	
1	2:-141	3:-143	4:-152	5:-166	6:-186	7:-104	
1	2:-5	3:-41	4:-36	5:-47	6:-84	7:15	
1	2:-50	3:-56	4:-53	5:-79	6:-101	7:-2	
1	2:-49	3:-68	4:-72	5:-74	6:-111	7:1	
1	2:-19	3:100	4:-60	5:-66	6:-89	7:12	
1	2:-168	3:-179	4:-138	5:-154	6:-206	7:-98	
1	2:0	3:-152	4:-145	5:-161	6:-214	7:-92	
1	2:-25	3:-23	4:-39	5:-54	6:-78	7:26	
1	2:124	3:124	4:-19	5:-44	6:-76	7:36	
1	2:-96	3:-54	4:-63	5:-57	6:-114	7:-3	
1	2:-30	3:-17	4:-46	5:-44	6:143	7:25	
1	2:-34	3:-44	4:-32	5:-67	6:-102	7:21	
1	2:104	3:-39	4:-40	5:-43	6:-69	7:17	
1	2:-38	3:-15	4:-15	5:-31	6:-75	7:33	
1	2:0	3:-159	4:-172	5:-191	6:-231	7:-118	
1	2:-41	3:-21	4:-42	5:-64	6:-74	7:17	
1	2:-56	3:77	4:77	5:-68	6:-97	7:3	
1	2:-40	3:112	4:-29	5:-50	6:-60	7:36	
1	2:-4	3:117	4:117	5:-31	6:-57	7:45	
1	2:3	3:-8	4:-13	5:-13	6:-26	7:66	
1	2:-188	3:-168	4:-158	5:-172	6:-184	7:-72	
1	2:-139	3:-153	4:-155	5:-153	6:-186	7:-79	
1	2:-12	3:-45	4:-45	5:-66	6:-94	7:160	
1	2:-167	3:-149	4:-163	5:-171	6:-202	7:-101	
1	2:104	3:-40	4:-64	5:-41	6:-59	7:30	
1	2:79	3:-63	4:-59	5:-86	6:-89	7:0	
1	2:-172	3:-164	4:-175	5:-186	6:-208	7:-102	
1	2:-26	3:8	4:-21	5:-36	6:-52	7:168	
1	2:-11	3:-27	4:-38	5:-36	6:-64	7:46	
1	2:-93	3:91	4:-46	5:-61	6:-58	7:19	
1	2:-24	3:-23	4:-31	5:-23	6:-57	7:62	
1	2:139	3:0	4:-40	5:-28	6:-38	7:56	
1	2:-45	3:-82	4:-60	5:-90	6:-87	7:-19	
1	2:-35	3:-3	4:-36	5:-7	6:-33	7:74	
1	2:-69	3:-30	4:-66	5:-58	6:-75	7:43	
1	2:-53	3:-51	4:104	5:-53	6:-83	7:27	
1	2:-36	3:-39	4:-64	5:-41	6:-65	7:25	
1	2:107	3:-39	4:107	5:-43	6:-42	7:26	
1	2:-24	3:93	4:-45	5:-55	6:-62	7:10	
1	2:-75	3:69	4:-32	5:-76	6:-89	7:1	
1	2:-61	3:-34	4:-32	5:-75	6:-48	7:11	
1	2:-65	3:-66	4:-51	5:-54	6:-60	7:8	
1	2:-139	3:0	4:-161	5:-153	6:-170	7:-94	
1	2:-37	3:-12	4:-24	5:-24	6:-31	7:36	
1	2:-37	3:100	4:-41	5:-61	6:-71	7:5	
1	2:157	3:1	4:21	5:2	6:-7	7:36	
1	2:-40	3:-46	4:-3	5:-18	6:-23	7:2	
1	2:14	3:108	4:-9	5:-31	6:-31	7:15	
1	2:-162	3:-164	4:-154	5:-143	6:-177	7:-104	
1	2:-12	3:-9	4:-24	5:-8	6:-13	7:36	
1	2:10	3:-5	4:-23	5:-35	6:-16	7:25	
1	2:-67	3:-74	4:-73	5:-65	6:-85	7:0	
1	2:107	3:-67	4:-55	5:-70	6:-77	7:-23	
1	2:-62	3:-32	4:-32	5:-59	6:-81	7:18	
1	2:-8	3:-57	4:-8	5:-58	6:-58	7:43	
1	2:-18	3:-36	4:-45	5:-66	6:-82	7:-4	
1	2:-79	3:-40	4:-58	5:-64	6:-99	7:-50	
1	2:-63	3:-24	4:121	5:-39	6:-44	7:10	
1	2:-42	3:-88	4:-61	5:-74	6:-81	7:6	
1	2:-151	3:-179	4:-177	5:-163	6:-173	7:-95	
1	2:-10	3:-3	4:-6	5:-28	6:-34	7:140	
1	2:-25	3:-18	4:-7	5:-8	6:-36	7:15	
1	2:-27	3:-17	4:-41	5:-28	6:-83	7:133	
1	2:-11	3:-46	4:-21	5:-23	6:-52	7:56	
1	2:-11	3:10	4:-12	5:-17	6:-12	7:68	
1	2:9	3:18	4:1	5:1	6:9	7:88	
1	2:-143	3:-160	4:-156	5:-166	6:-173	7:-97	
1	2:-180	3:-176	4:-173	5:-205	6:-212	7:0	
1	2:-14	3:11	4:-12	5:-3	6:-15	7:75	
1	2:-142	3:-147	4:0	5:-159	6:-161	7:-72	
1	2:-52	3:-49	4:-84	5:-80	6:-92	7:22	
1	2:-7	3:-42	4:-30	5:-70	6:-80	7:24	
1	2:-139	3:-186	4:-158	5:-167	6:-152	7:-86	
1	2:0	3:-146	4:-143	5:-162	6:-154	7:-109	
1	2:3	3:-8	4:-15	5:0	6:-4	7:53	
1	2:-139	3:-162	4:-147	5:-151	6:-165	7:0	
1	2:0	3:-1	4:39	5:7	6:-5	7:-2	
1	2:-146	3:0	4:-160	5:-148	6:-158	7:-147	
1	2:-41	3:-44	4:-32	5:-40	6:-36	7:107	
1	2:-35	3:-30	4:-46	5:-55	6:-47	7:-10	
1	2:-20	3:4	4:-14	5:-14	6:-9	7:8	
1	2:-25	3:2	4:-22	5:-12	6:-31	7:1	
1	2:-36	3:148	4:-28	5:-5	6:-19	7:0	
1	2:-53	3:-32	4:-45	5:-46	6:-59	7:-26	
1	2:-136	3:-161	4:-160	5:-168	6:-178	7:0	
1	2:-2	3:-12	4:-20	5:-39	6:-22	7:150	
1	2:21	3:27	4:29	5:9	6:-2	7:175	
1	2:126	3:-22	4:-28	5:-23	6:-33	7:-10	
1	2:-24	3:-21	4:-18	5:-22	6:1	7:140	
1	2:-11	3:-38	4:-39	5:-38	6:-64	7:0	
1	2:-15	3:6	4:15	5:0	6:-15	7:4	
1	2:-52	3:-28	4:-34	5:-53	6:-61	7:-34	
1	2:25	3:35	4:23	5:26	6:16	7:27	
1	2:-31	3:-17	4:-26	5:-12	6:-15	7:12	
1	2:1	3:-20	4:-20	5:-21	6:-33	7:146	
1	2:-40	3:-53	4:-39	5:-55	6:-61	7:-14	
