1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:72	2:37	3:99	4:42	5:16	6:5	7:125	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:110	2:88	3:24	4:19	5:23	6:27	7:106	
1	1:105	2:62	3:31	4:63	5:14	6:14	7:108	
1	1:68	2:30	3:30	4:46	5:35	6:8	7:180	
1	1:56	2:40	3:18	4:47	5:8	6:12	7:215	
1	1:2	2:395	3:0	4:0	5:0	6:0	7:1	
1	1:52	2:88	3:50	4:27	5:23	6:21	7:136	
1	1:144	2:16	3:55	4:36	5:16	6:11	7:118	
1	1:178	2:42	3:50	4:28	5:12	6:11	7:75	
1	1:97	2:104	3:60	4:23	5:17	6:13	7:83	
1	1:50	2:32	3:7	4:39	5:31	6:22	7:216	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:133	2:133	3:0	4:0	5:0	6:0	7:133	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:199	3:0	4:0	5:0	6:0	7:199	
1	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
1	1:0	2:0	3:199	4:0	5:0	6:0	7:199	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:199	3:0	4:0	5:0	6:0	7:199	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:0	3:199	4:0	5:0	6:0	7:199	
1	1:2	2:0	3:0	4:0	5:0	6:0	7:396	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:0	2:0	3:133	4:132	5:0	6:0	7:133	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:1	2:0	3:0	4:0	5:0	6:0	7:397	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:399	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:26	2:94	3:32	4:24	5:31	6:18	7:171	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:199	2:0	3:0	4:0	5:0	6:0	7:199	
1	1:115	2:56	3:43	4:58	5:47	6:7	7:71	
1	1:181	2:51	3:41	4:47	5:41	6:16	7:19	
1	1:102	2:89	3:58	4:50	5:25	6:29	7:43	
1	1:279	2:36	3:44	4:3	5:15	6:9	7:11	
1	1:71	2:85	3:23	4:73	5:43	6:27	7:73	
1	1:0	2:0	3:0	4:0	5:199	6:0	7:199	
1	1:236	2:33	3:39	4:16	5:13	6:8	7:52	
1	1:0	2:397	3:0	4:0	5:0	6:0	7:0	
1	1:0	2:395	3:0	4:0	5:0	6:0	7:3	
1	1:395	2:0	3:0	4:0	5:0	6:0	7:2	
1	1:124	2:9	3:22	4:13	5:13	6:5	7:210	
1	1:0	2:0	3:0	4:0	5:0	6:0	7:398	
1	1:43	2:5	3:17	4:5	5:10	6:25	7:291	
1	1:26	2:11	3:6	4:12	5:10	6:7	7:324	
