0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:199	3:199	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:0	4:0	5:0	6:398	7:0	
0	1:259	2:60	3:57	4:13	5:3	6:1	7:3	
0	1:398	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:340	2:11	3:25	4:9	5:9	6:1	7:2	
0	1:333	2:25	3:19	4:13	5:2	6:3	7:1	
0	1:288	2:32	3:50	4:4	5:11	6:9	7:1	
0	1:3	2:395	3:0	4:0	5:0	6:0	7:0	
0	1:306	2:10	3:60	4:9	5:9	6:1	7:2	
0	1:249	2:32	3:84	4:10	5:14	6:4	7:3	
0	1:195	2:70	3:74	4:45	5:8	6:1	7:2	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:279	2:19	3:68	4:15	5:13	6:3	7:0	
0	1:3	2:395	3:0	4:0	5:0	6:0	7:0	
0	1:268	2:29	3:50	4:37	5:5	6:2	7:5	
0	1:1	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:4	2:0	3:394	4:0	5:0	6:0	7:0	
0	1:229	2:49	3:32	4:62	5:18	6:4	7:3	
0	1:180	2:76	3:34	4:31	5:46	6:19	7:11	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:280	2:19	3:44	4:28	5:18	6:4	7:4	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:146	2:102	3:98	4:23	5:20	6:6	7:1	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
0	1:335	2:24	3:25	4:2	5:7	6:1	7:2	
0	1:351	2:12	3:23	4:6	5:2	6:1	7:1	
0	1:160	2:39	3:139	4:22	5:30	6:2	7:5	
0	1:1	2:397	3:0	4:0	5:0	6:0	7:0	
0	1:0	2:0	3:398	4:0	5:0	6:0	7:0	
0	1:262	2:61	3:24	4:37	5:9	6:3	7:1	
0	1:399	2:0	3:0	4:0	5:0	6:0	7:0	
